,ORIGIN,DEST,AIR_TIME_MEAN,ROUTE
0,ATL,ATL,45.0,ATLATL
1,ATL,BOS,6002.21,ATLBOS
2,ATL,CLT,1481.41,ATLCLT
3,ATL,DEN,7305.19,ATLDEN
4,ATL,DFW,8133.17,ATLDFW
5,ATL,DTW,2285.96,ATLDTW
6,ATL,EWR,3795.96,ATLEWR
7,ATL,IAH,3210.57,ATLIAH
8,ATL,JFK,2409.05,ATLJFK
9,ATL,LAS,15257.25,ATLLAS
10,ATL,LAX,15655.87,ATLLAX
11,ATL,LGA,9760.01,ATLLGA
12,ATL,MCO,3770.13,ATLMCO
13,ATL,MIA,4034.89,ATLMIA
14,ATL,MSP,5181.17,ATLMSP
15,ATL,ORD,3693.83,ATLORD
16,ATL,PHL,3609.92,ATLPHL
17,ATL,PHX,9150.03,ATLPHX
18,ATL,SEA,10956.95,ATLSEA
19,ATL,SFO,17638.23,ATLSFO
20,BOS,ATL,6537.53,BOSATL
21,BOS,BOS,37.33,BOSBOS
22,BOS,CLT,4329.68,BOSCLT
23,BOS,DEN,9102.49,BOSDEN
24,BOS,DFW,11139.04,BOSDFW
25,BOS,DTW,2239.42,BOSDTW
26,BOS,EWR,1718.47,BOSEWR
27,BOS,IAH,7464.39,BOSIAH
28,BOS,JFK,1895.33,BOSJFK
29,BOS,LAS,8357.09,BOSLAS
30,BOS,LAX,11722.77,BOSLAX
31,BOS,LGA,4771.3,BOSLGA
32,BOS,MCO,6782.67,BOSMCO
33,BOS,MIA,13629.84,BOSMIA
34,BOS,MSP,3788.92,BOSMSP
35,BOS,ORD,8513.02,BOSORD
36,BOS,PHL,3069.78,BOSPHL
37,BOS,PHX,11695.33,BOSPHX
38,BOS,SEA,11812.61,BOSSEA
39,BOS,SFO,19346.3,BOSSFO
40,CLT,ATL,1497.38,CLTATL
41,CLT,BOS,4181.03,CLTBOS
42,CLT,CLT,67.8,CLTCLT
43,CLT,DEN,9563.09,CLTDEN
44,CLT,DFW,8466.78,CLTDFW
45,CLT,DTW,1746.52,CLTDTW
46,CLT,EWR,3189.84,CLTEWR
47,CLT,IAH,6246.8,CLTIAH
48,CLT,JFK,3073.29,CLTJFK
49,CLT,LAS,14702.67,CLTLAS
50,CLT,LAX,16659.45,CLTLAX
51,CLT,LGA,4331.87,CLTLGA
52,CLT,MCO,2460.27,CLTMCO
53,CLT,MIA,5469.16,CLTMIA
54,CLT,MSP,3198.52,CLTMSP
55,CLT,ORD,3872.14,CLTORD
56,CLT,PHL,1833.63,CLTPHL
57,CLT,PHX,16979.18,CLTPHX
58,CLT,SEA,8062.5,CLTSEA
59,CLT,SFO,18522.93,CLTSFO
60,DEN,ATL,6128.96,DENATL
61,DEN,BOS,7565.83,DENBOS
62,DEN,CLT,7705.44,DENCLT
63,DEN,DEN,122.39,DENDEN
64,DEN,DFW,3745.93,DENDFW
65,DEN,DTW,3813.86,DENDTW
66,DEN,EWR,5617.84,DENEWR
67,DEN,IAH,3506.48,DENIAH
68,DEN,JFK,3856.89,DENJFK
69,DEN,LAS,4600.33,DENLAS
70,DEN,LAX,5667.64,DENLAX
71,DEN,LGA,8574.48,DENLGA
72,DEN,MCO,6554.55,DENMCO
73,DEN,MIA,4397.61,DENMIA
74,DEN,MSP,2781.29,DENMSP
75,DEN,ORD,4906.28,DENORD
76,DEN,PHL,4879.83,DENPHL
77,DEN,PHX,3468.61,DENPHX
78,DEN,SEA,5081.82,DENSEA
79,DEN,SFO,5300.04,DENSFO
80,DFW,ATL,7035.06,DFWATL
81,DFW,BOS,10304.71,DFWBOS
82,DFW,CLT,7190.28,DFWCLT
83,DFW,DEN,4060.91,DFWDEN
84,DFW,DTW,3979.77,DFWDTW
85,DFW,EWR,7271.8,DFWEWR
86,DFW,IAH,1771.78,DFWIAH
87,DFW,JFK,3425.0,DFWJFK
88,DFW,LAS,10408.77,DFWLAS
89,DFW,LAX,11925.39,DFWLAX
90,DFW,LGA,24236.24,DFWLGA
91,DFW,MCO,7272.29,DFWMCO
92,DFW,MIA,9871.02,DFWMIA
93,DFW,MSP,3582.69,DFWMSP
94,DFW,ORD,7209.3,DFWORD
95,DFW,PHL,7109.04,DFWPHL
96,DFW,PHX,7706.62,DFWPHX
97,DFW,SEA,11915.3,DFWSEA
98,DFW,SFO,10652.3,DFWSFO
99,DTW,ATL,2621.73,DTWATL
100,DTW,BOS,1744.69,DTWBOS
101,DTW,CLT,1654.79,DTWCLT
102,DTW,DEN,4113.97,DTWDEN
103,DTW,DFW,5172.94,DTWDFW
104,DTW,EWR,2060.93,DTWEWR
105,DTW,IAH,4193.91,DTWIAH
106,DTW,JFK,1312.55,DTWJFK
107,DTW,LAS,9857.77,DTWLAS
108,DTW,LAX,7254.9,DTWLAX
109,DTW,LGA,3246.13,DTWLGA
110,DTW,MCO,4155.21,DTWMCO
111,DTW,MIA,4290.69,DTWMIA
112,DTW,MSP,2029.7,DTWMSP
113,DTW,ORD,1126.24,DTWORD
114,DTW,PHL,1716.27,DTWPHL
115,DTW,PHX,7624.17,DTWPHX
116,DTW,SEA,7127.31,DTWSEA
117,DTW,SFO,7640.28,DTWSFO
118,EWR,ATL,4324.95,EWRATL
119,EWR,BOS,1512.5,EWRBOS
120,EWR,CLT,3541.34,EWRCLT
121,EWR,DEN,6301.13,EWRDEN
122,EWR,DFW,8491.85,EWRDFW
123,EWR,DTW,2350.45,EWRDTW
124,EWR,EWR,99.67,EWREWR
125,EWR,IAH,6541.11,EWRIAH
126,EWR,JFK,35.62,EWRJFK
127,EWR,LAS,11609.6,EWRLAS
128,EWR,LAX,8988.93,EWRLAX
129,EWR,LGA,16.18,EWRLGA
130,EWR,MCO,6391.56,EWRMCO
131,EWR,MIA,3984.69,EWRMIA
132,EWR,MSP,5520.51,EWRMSP
133,EWR,ORD,4803.87,EWRORD
134,EWR,PHL,1569.85,EWRPHL
135,EWR,PHX,11515.64,EWRPHX
136,EWR,SEA,12241.79,EWRSEA
137,EWR,SFO,10747.86,EWRSFO
138,IAH,ATL,2853.15,IAHATL
139,IAH,BOS,7035.56,IAHBOS
140,IAH,CLT,5271.61,IAHCLT
141,IAH,DEN,3425.35,IAHDEN
142,IAH,DFW,1528.06,IAHDFW
143,IAH,DTW,3682.01,IAHDTW
144,IAH,EWR,6003.93,IAHEWR
145,IAH,IAH,67.77,IAHIAH
146,IAH,JFK,1678.85,IAHJFK
147,IAH,LAS,8563.02,IAHLAS
148,IAH,LAX,9739.77,IAHLAX
149,IAH,LGA,13002.43,IAHLGA
150,IAH,MCO,2546.76,IAHMCO
151,IAH,MIA,3910.19,IAHMIA
152,IAH,MSP,3570.81,IAHMSP
153,IAH,ORD,5167.16,IAHORD
154,IAH,PHL,6487.18,IAHPHL
155,IAH,PHX,5362.22,IAHPHX
156,IAH,SEA,12213.28,IAHSEA
157,IAH,SFO,7152.83,IAHSFO
158,JFK,ATL,2531.23,JFKATL
159,JFK,BOS,1893.51,JFKBOS
160,JFK,CLT,3449.72,JFKCLT
161,JFK,DEN,4302.0,JFKDEN
162,JFK,DFW,3294.06,JFKDFW
163,JFK,DTW,1475.91,JFKDTW
164,JFK,EWR,20.0,JFKEWR
165,JFK,IAH,1608.97,JFKIAH
166,JFK,JFK,43.5,JFKJFK
167,JFK,LAS,15697.51,JFKLAS
168,JFK,LAX,43059.67,JFKLAX
169,JFK,LGA,26.0,JFKLGA
170,JFK,MCO,8513.69,JFKMCO
171,JFK,MIA,5183.95,JFKMIA
172,JFK,MSP,3087.98,JFKMSP
173,JFK,ORD,3102.96,JFKORD
174,JFK,PHL,465.0,JFKPHL
175,JFK,PHX,11337.3,JFKPHX
176,JFK,SEA,10988.67,JFKSEA
177,JFK,SFO,23600.46,JFKSFO
178,LAS,ATL,11945.96,LASATL
179,LAS,BOS,7109.58,LASBOS
180,LAS,CLT,12182.19,LASCLT
181,LAS,DEN,4407.42,LASDEN
182,LAS,DFW,8735.49,LASDFW
183,LAS,DTW,8140.47,LASDTW
184,LAS,EWR,9771.91,LASEWR
185,LAS,IAH,8050.19,LASIAH
186,LAS,JFK,14375.58,LASJFK
187,LAS,LAS,19.0,LASLAS
188,LAS,LAX,2452.01,LASLAX
189,LAS,LGA,275.5,LASLGA
190,LAS,MCO,7931.28,LASMCO
191,LAS,MIA,11109.13,LASMIA
192,LAS,MSP,4477.56,LASMSP
193,LAS,ORD,9918.59,LASORD
194,LAS,PHL,11150.72,LASPHL
195,LAS,PHX,3300.09,LASPHX
196,LAS,SEA,8294.41,LASSEA
197,LAS,SFO,3322.06,LASSFO
198,LAX,ATL,12191.76,LAXATL
199,LAX,BOS,9909.71,LAXBOS
200,LAX,CLT,13922.77,LAXCLT
201,LAX,DEN,5086.15,LAXDEN
202,LAX,DFW,9797.87,LAXDFW
203,LAX,DTW,6906.55,LAXDTW
204,LAX,EWR,8889.14,LAXEWR
205,LAX,IAH,8407.75,LAXIAH
206,LAX,JFK,34472.82,LAXJFK
207,LAX,LAS,2526.3,LAXLAS
208,LAX,LAX,98.7,LAXLAX
209,LAX,LGA,311.0,LAXLGA
210,LAX,MCO,5840.85,LAXMCO
211,LAX,MIA,9455.93,LAXMIA
212,LAX,MSP,5119.02,LAXMSP
213,LAX,ORD,13196.34,LAXORD
214,LAX,PHL,10264.42,LAXPHL
215,LAX,PHX,3238.37,LAXPHX
216,LAX,SEA,8674.52,LAXSEA
217,LAX,SFO,4222.25,LAXSFO
218,LGA,ATL,10282.39,LGAATL
219,LGA,BOS,4416.51,LGABOS
220,LGA,CLT,5754.84,LGACLT
221,LGA,DEN,8815.12,LGADEN
222,LGA,DFW,25962.22,LGADFW
223,LGA,DTW,3771.46,LGADTW
224,LGA,EWR,41.8,LGAEWR
225,LGA,IAH,14503.08,LGAIAH
226,LGA,JFK,33.43,LGAJFK
227,LGA,LAS,305.0,LGALAS
228,LGA,LAX,306.0,LGALAX
229,LGA,LGA,152.5,LGALGA
230,LGA,MCO,5351.5,LGAMCO
231,LGA,MIA,12936.53,LGAMIA
232,LGA,MSP,6510.91,LGAMSP
233,LGA,ORD,15450.42,LGAORD
234,LGA,PHL,2259.4,LGAPHL
235,LGA,PHX,294.0,LGAPHX
236,LGA,SEA,317.0,LGASEA
237,LGA,SFO,337.0,LGASFO
238,MCO,ATL,4387.81,MCOATL
239,MCO,BOS,6141.45,MCOBOS
240,MCO,CLT,2794.91,MCOCLT
241,MCO,DEN,7880.92,MCODEN
242,MCO,DFW,8845.12,MCODFW
243,MCO,DTW,4261.06,MCODTW
244,MCO,EWR,6008.99,MCOEWR
245,MCO,IAH,2832.64,MCOIAH
246,MCO,JFK,7801.8,MCOJFK
247,MCO,LAS,11663.7,MCOLAS
248,MCO,LAX,7245.15,MCOLAX
249,MCO,LGA,5612.65,MCOLGA
250,MCO,MIA,1423.07,MCOMIA
251,MCO,MSP,3989.4,MCOMSP
252,MCO,ORD,7792.38,MCOORD
253,MCO,PHL,4905.23,MCOPHL
254,MCO,PHX,8465.46,MCOPHX
255,MCO,SEA,12977.46,MCOSEA
256,MCO,SFO,5295.26,MCOSFO
257,MIA,ATL,3277.53,MIAATL
258,MIA,BOS,14069.86,MIABOS
259,MIA,CLT,5537.14,MIACLT
260,MIA,DEN,5211.35,MIADEN
261,MIA,DFW,10435.7,MIADFW
262,MIA,DTW,4136.16,MIADTW
263,MIA,EWR,4358.14,MIAEWR
264,MIA,IAH,4341.16,MIAIAH
265,MIA,JFK,4972.47,MIAJFK
266,MIA,LAS,12565.64,MIALAS
267,MIA,LAX,11802.93,MIALAX
268,MIA,LGA,11949.1,MIALGA
269,MIA,MCO,1715.12,MIAMCO
270,MIA,MIA,53.59,MIAMIA
271,MIA,MSP,3379.48,MIAMSP
272,MIA,ORD,6671.14,MIAORD
273,MIA,PHL,5642.59,MIAPHL
274,MIA,PHX,8044.17,MIAPHX
275,MIA,SEA,10988.75,MIASEA
276,MIA,SFO,15742.7,MIASFO
277,MSP,ATL,4729.31,MSPATL
278,MSP,BOS,3192.16,MSPBOS
279,MSP,CLT,2784.03,MSPCLT
280,MSP,DEN,3032.81,MSPDEN
281,MSP,DFW,3817.69,MSPDFW
282,MSP,DTW,1632.62,MSPDTW
283,MSP,EWR,4697.3,MSPEWR
284,MSP,IAH,3098.06,MSPIAH
285,MSP,JFK,2906.55,MSPJFK
286,MSP,LAS,5438.25,MSPLAS
287,MSP,LAX,5650.52,MSPLAX
288,MSP,LGA,5842.31,MSPLGA
289,MSP,MCO,3580.48,MSPMCO
290,MSP,MIA,3098.02,MSPMIA
291,MSP,MSP,41.25,MSPMSP
292,MSP,ORD,2003.07,MSPORD
293,MSP,PHL,2550.0,MSPPHL
294,MSP,PHX,5076.57,MSPPHX
295,MSP,SEA,4748.17,MSPSEA
296,MSP,SFO,5075.28,MSPSFO
297,ORD,ATL,3267.48,ORDATL
298,ORD,BOS,6996.32,ORDBOS
299,ORD,CLT,3580.67,ORDCLT
300,ORD,DEN,5029.58,ORDDEN
301,ORD,DFW,7560.62,ORDDFW
302,ORD,DTW,1156.05,ORDDTW
303,ORD,EWR,3759.2,ORDEWR
304,ORD,IAH,6127.69,ORDIAH
305,ORD,JFK,2009.54,ORDJFK
306,ORD,LAS,11887.72,ORDLAS
307,ORD,LAX,13289.71,ORDLAX
308,ORD,LGA,12405.7,ORDLGA
309,ORD,MCO,6163.96,ORDMCO
310,ORD,MIA,5623.8,ORDMIA
311,ORD,MSP,2269.2,ORDMSP
312,ORD,ORD,49.35,ORDORD
313,ORD,PHL,3649.02,ORDPHL
314,ORD,PHX,10309.66,ORDPHX
315,ORD,SEA,13373.59,ORDSEA
316,ORD,SFO,15210.38,ORDSFO
317,PHL,ATL,3820.72,PHLATL
318,PHL,BOS,2696.25,PHLBOS
319,PHL,CLT,1878.5,PHLCLT
320,PHL,DEN,6080.92,PHLDEN
321,PHL,DFW,9167.08,PHLDFW
322,PHL,DTW,1945.33,PHLDTW
323,PHL,EWR,852.48,PHLEWR
324,PHL,IAH,7239.95,PHLIAH
325,PHL,JFK,166.52,PHLJFK
326,PHL,LAS,14702.34,PHLLAS
327,PHL,LAX,14342.67,PHLLAX
328,PHL,LGA,1372.72,PHLLGA
329,PHL,MCO,5022.06,PHLMCO
330,PHL,MIA,5392.6,PHLMIA
331,PHL,MSP,2926.85,PHLMSP
332,PHL,ORD,4371.72,PHLORD
333,PHL,PHL,104.33,PHLPHL
334,PHL,PHX,13677.53,PHLPHX
335,PHL,SEA,10293.07,PHLSEA
336,PHL,SFO,13065.14,PHLSFO
337,PHX,ATL,8099.97,PHXATL
338,PHX,BOS,9709.22,PHXBOS
339,PHX,CLT,12776.34,PHXCLT
340,PHX,DEN,3421.3,PHXDEN
341,PHX,DFW,6922.93,PHXDFW
342,PHX,DTW,5936.78,PHXDTW
343,PHX,EWR,9111.8,PHXEWR
344,PHX,IAH,5085.39,PHXIAH
345,PHX,JFK,9760.76,PHXJFK
346,PHX,LAS,2882.24,PHXLAS
347,PHX,LAX,2971.01,PHXLAX
348,PHX,LGA,252.0,PHXLGA
349,PHX,MCO,7116.51,PHXMCO
350,PHX,MIA,6139.31,PHXMIA
351,PHX,MSP,4395.33,PHXMSP
352,PHX,ORD,8894.0,PHXORD
353,PHX,PHL,10420.94,PHXPHL
354,PHX,PHX,36.5,PHXPHX
355,PHX,SEA,6801.19,PHXSEA
356,PHX,SFO,3469.02,PHXSFO
357,SEA,ATL,9783.18,SEAATL
358,SEA,BOS,10417.04,SEABOS
359,SEA,CLT,6886.62,SEACLT
360,SEA,DEN,4593.22,SEADEN
361,SEA,DFW,10713.69,SEADFW
362,SEA,DTW,6018.23,SEADTW
363,SEA,EWR,10639.06,SEAEWR
364,SEA,IAH,10981.23,SEAIAH
365,SEA,JFK,9856.81,SEAJFK
366,SEA,LAS,8020.22,SEALAS
367,SEA,LAX,8050.82,SEALAX
368,SEA,LGA,314.5,SEALGA
369,SEA,MCO,11105.62,SEAMCO
370,SEA,MIA,9427.58,SEAMIA
371,SEA,MSP,3976.57,SEAMSP
372,SEA,ORD,10490.01,SEAORD
373,SEA,PHL,9452.29,SEAPHL
374,SEA,PHX,6332.46,SEAPHX
375,SEA,SEA,19.33,SEASEA
376,SEA,SFO,5255.05,SEASFO
377,SFO,ATL,14791.72,SFOATL
378,SFO,BOS,14109.15,SFOBOS
379,SFO,CLT,15176.21,SFOCLT
380,SFO,DEN,4913.62,SFODEN
381,SFO,DFW,9279.38,SFODFW
382,SFO,DTW,7274.66,SFODTW
383,SFO,EWR,9129.86,SFOEWR
384,SFO,IAH,6140.13,SFOIAH
385,SFO,JFK,20294.78,SFOJFK
386,SFO,LAS,3254.99,SFOLAS
387,SFO,LAX,4139.78,SFOLAX
388,SFO,LGA,293.0,SFOLGA
389,SFO,MCO,4717.06,SFOMCO
390,SFO,MIA,13422.26,SFOMIA
391,SFO,MSP,4438.02,SFOMSP
392,SFO,ORD,13909.54,SFOORD
393,SFO,PHL,11229.57,SFOPHL
394,SFO,PHX,3244.65,SFOPHX
395,SFO,SEA,4863.74,SFOSEA
