22.12.2017;02.01.2018;Christmas holidays
16.02.2018;19.02.2018;Sport holiday
26.03.2018;30.03.2018;Spring time holidays
16.06.2018;10.08.2018;Summer holidays
25.10.2018;26.10.2018;Autumn holidays
21.11.2018;23.11.2018;November Weekend
24.12.2018;01.01.2019;Christmas holidays
21.01.2019;23.01.2019;Bank holiday
18.02.2019;22.02.2019;Sport holiday
15.04.2019;19.04.2019;Spring time holidays
27.05.2019;28.05.2019;Bank holiday
22.06.2019;25.08.2019;Summer holidays
02.09.2019;02.09.2019;Tag der Arbeit US
14.10.2019;14.10.2019;Kolumbus Tag
04.11.2019;05.11.2019;Novemberferien
11.11.2019;11.11.2019;Tag der Veteranen
27.11.2019;29.11.2019;Erntedankfest
23.12.2019;01.01.2020;Christmas holidays
20.01.2020;20.01.2020;Martin Luther King Tag
27.01.2020;28.01.2020;Bank holiday
17.02.2020;21.02.2020;Sport holiday
20.03.2020;20.03.2020;Bank holiday
08.04.2020;08.04.2020;Bank holiday
13.04.2020;17.04.2020;Spring time holidays
22.05.2020;22.05.2020;Bank holiday
25.05.2020;25.05.2020;Erinnerungstag US
22.06.2020;22.06.2020;Bank holiday
29.06.2020;21.08.2020;Summer holidays